CPU%,RAM_USADA,RAM_LIVRE,RAM_TOTAL
0.6,0 GB,7.57004 GB,14.9029 GB
7,0 GB,7.50465 GB,14.9029 GB
0,0 GB,7.50105 GB,14.9029 GB
0,0 GB,7.43298 GB,14.9029 GB
3,0 GB,7.45039 GB,14.9029 GB
0,0 GB,7.29197 GB,14.9029 GB
0,0 GB,7.84232 GB,14.9029 GB
4,0 GB,7.7735 GB,14.9029 GB
0,7.49 GB,7.41348 GB,14.9029 GB
0%,0 GB,7.38515 GB,14.9029 GB
0%,7.49389 GB,7.37523 GB,14.9029 GB
0%,7.44915 GB,7.42122 GB,14.9029 GB
0%,7.52297 GB,7.16617 GB,14.9029 GB
0.4%,7.50807 GB,7.18097 GB,14.9029 GB
0.2%,7.44867 GB,7.24458 GB,14.9029 GB
0.2%,7.41696 GB,7.27237 GB,14.9029 GB
0.2%,7.44694 GB,7.24212 GB,14.9029 GB
0.1%,7.44476 GB,7.24456 GB,14.9029 GB
0.1%,7.43063 GB,7.26306 GB,14.9029 GB
0.1%,7.40517 GB,7.28274 GB,14.9029 GB
0.6%,7.46693 GB,7.22233 GB,14.9029 GB
0.6%,7.45668 GB,7.23248 GB,14.9029 GB
0.6%,7.44078 GB,7.25293 GB,14.9029 GB
0.4%,7.45491 GB,7.23909 GB,14.9029 GB
0.5%,7.44703 GB,7.24281 GB,14.9029 GB
0.4%,7.45238 GB,7.23708 GB,14.9029 GB
0.4%,7.45339 GB,7.23593 GB,14.9029 GB
0.4%,7.45186 GB,7.23756 GB,14.9029 GB
0.4%,7.45457 GB,7.23472 GB,14.9029 GB
0.4%,7.46586 GB,7.22345 GB,14.9029 GB
